image,label
data\metal\86.jpg,metal
data\metal\87.jpg,metal
data\metal\88.jpg,metal
data\metal\89.jpg,metal
data\metal\9.jpg,metal
data\metal\90.jpg,metal
data\metal\91.jpg,metal
data\metal\92.jpg,metal
data\metal\93.jpg,metal
data\metal\94.jpg,metal
data\metal\95.jpg,metal
data\metal\96.jpg,metal
data\metal\97.jpg,metal
data\metal\98.jpg,metal
data\metal\99.jpg,metal
data\paper\0.jpg,paper
data\paper\1.jpg,paper
data\paper\10.jpg,paper
data\paper\100.jpg,paper
data\paper\101.jpg,paper
data\paper\102.jpg,paper
data\paper\103.jpg,paper
data\paper\104.jpg,paper
data\paper\105.jpg,paper
data\paper\106.jpg,paper
data\paper\107.jpg,paper
data\paper\108.jpg,paper
data\paper\109.jpg,paper
data\paper\11.jpg,paper
data\paper\110.jpg,paper
data\paper\111.jpg,paper
data\paper\112.jpg,paper
data\paper\113.jpg,paper
data\paper\114.jpg,paper
data\paper\115.jpg,paper
data\paper\116.jpg,paper
data\paper\117.jpg,paper
data\paper\118.jpg,paper
data\paper\119.jpg,paper
data\paper\12.jpg,paper
data\paper\120.jpg,paper
data\paper\121.jpg,paper
data\paper\122.jpg,paper
data\paper\123.jpg,paper
data\paper\124.jpg,paper
data\paper\125.jpg,paper
data\paper\126.jpg,paper
data\paper\127.jpg,paper
data\paper\128.jpg,paper
data\paper\129.jpg,paper
data\paper\13.jpg,paper
data\paper\130.jpg,paper
data\paper\131.jpg,paper
data\paper\132.jpg,paper
data\paper\133.jpg,paper
data\paper\134.jpg,paper
data\paper\135.jpg,paper
data\paper\136.jpg,paper
data\paper\137.jpg,paper
data\paper\138.jpg,paper
data\paper\139.jpg,paper
data\paper\14.jpg,paper
data\paper\140.jpg,paper
data\paper\141.jpg,paper
data\paper\15.jpg,paper
data\paper\16.jpg,paper
data\paper\17.jpg,paper
data\paper\18.jpg,paper
data\paper\19.jpg,paper
data\paper\2.jpg,paper
data\paper\20.jpg,paper
data\paper\21.jpg,paper
data\paper\22.jpg,paper
data\paper\23.jpg,paper
data\paper\24.jpg,paper
data\paper\25.jpg,paper
data\paper\26.jpg,paper
data\paper\27.jpg,paper
data\paper\28.jpg,paper
data\paper\29.jpg,paper
data\paper\3.jpg,paper
data\paper\30.jpg,paper
data\paper\31.jpg,paper
data\paper\32.jpg,paper
data\paper\33.jpg,paper
data\paper\34.jpg,paper
data\paper\35.jpg,paper
data\paper\36.jpg,paper
data\paper\37.jpg,paper
data\paper\38.jpg,paper
data\paper\39.jpg,paper
data\paper\4.jpg,paper
data\paper\40.jpg,paper
data\paper\41.jpg,paper
data\paper\42.jpg,paper
data\paper\43.jpg,paper
data\paper\44.jpg,paper
data\paper\45.jpg,paper
data\paper\46.jpg,paper
data\paper\47.jpg,paper
data\paper\48.jpg,paper
data\paper\49.jpg,paper
data\paper\5.jpg,paper
data\paper\50.jpg,paper
data\paper\51.jpg,paper
data\paper\52.jpg,paper
data\paper\53.jpg,paper
data\paper\54.jpg,paper
data\paper\55.jpg,paper
data\paper\56.jpg,paper
data\paper\57.jpg,paper
data\paper\58.jpg,paper
data\paper\59.jpg,paper
data\paper\6.jpg,paper
data\paper\60.jpg,paper
data\paper\61.jpg,paper
data\paper\62.jpg,paper
data\paper\63.jpg,paper
data\paper\64.jpg,paper
data\paper\65.jpg,paper
data\paper\66.jpg,paper
data\paper\67.jpg,paper
data\paper\68.jpg,paper
data\paper\69.jpg,paper
data\paper\7.jpg,paper
data\paper\70.jpg,paper
data\paper\71.jpg,paper
data\paper\72.jpg,paper
data\paper\73.jpg,paper
data\paper\74.jpg,paper
data\paper\75.jpg,paper
data\paper\76.jpg,paper
data\paper\77.jpg,paper
data\paper\78.jpg,paper
data\paper\79.jpg,paper
data\paper\8.jpg,paper
data\paper\80.jpg,paper
data\paper\81.jpg,paper
data\paper\82.jpg,paper
data\paper\83.jpg,paper
data\paper\84.jpg,paper
data\paper\85.jpg,paper
data\paper\86.jpg,paper
data\paper\87.jpg,paper
data\paper\88.jpg,paper
data\paper\89.jpg,paper
data\paper\9.jpg,paper
data\paper\90.jpg,paper
data\paper\91.jpg,paper
data\paper\92.jpg,paper
data\paper\93.jpg,paper
data\paper\94.jpg,paper
data\paper\95.jpg,paper
data\paper\96.jpg,paper
data\paper\97.jpg,paper
data\paper\98.jpg,paper
data\paper\99.jpg,paper
