image_path,label,label_id,width,height,file_size_kb,corrupt
final_data\glass\301.jpg,glass,0,1464,980,195.19,False
final_data\glass\302.jpg,glass,0,1820,1024,527.29,False
final_data\glass\303.jpg,glass,0,838,557,64.56,False
final_data\glass\304.jpg,glass,0,770,433,81.42,False
final_data\glass\305.jpg,glass,0,900,506,146.81,False
final_data\glass\306.jpg,glass,0,600,400,23.25,False
final_data\glass\307.jpg,glass,0,768,480,124.01,False
final_data\glass\308.jpg,glass,0,1300,928,192.69,False
final_data\glass\309.jpg,glass,0,1200,900,264.47,False
final_data\glass\31.jpg,glass,0,390,280,29.06,False
final_data\glass\310.jpg,glass,0,1920,1280,419.82,False
final_data\glass\311.jpg,glass,0,735,490,133.98,False
final_data\glass\312.jpg,glass,0,600,400,52.71,False
final_data\glass\313.jpg,glass,0,1500,1120,440.79,False
final_data\glass\314.jpg,glass,0,1300,956,193.63,False
final_data\glass\315.jpg,glass,0,930,620,156.9,False
final_data\glass\316.jpg,glass,0,1300,906,224.6,False
final_data\glass\317.jpg,glass,0,1344,768,91.14,False
final_data\glass\318.jpg,glass,0,1344,768,133.78,False
final_data\glass\319.jpg,glass,0,1024,1024,207.65,False
final_data\glass\32.jpg,glass,0,1500,1101,227.29,False
final_data\glass\320.jpg,glass,0,2030,1388,340.14,False
final_data\glass\321.jpg,glass,0,800,534,71.85,False
final_data\glass\322.jpg,glass,0,800,534,64.77,False
final_data\glass\323.jpg,glass,0,800,534,44.02,False
final_data\glass\324.jpg,glass,0,1050,1242,225.22,False
final_data\glass\325.jpg,glass,0,600,305,63.55,False
final_data\glass\326.jpg,glass,0,480,244,41.51,False
final_data\glass\327.jpg,glass,0,3430,1960,512.2,False
final_data\glass\328.jpg,glass,0,2000,1334,643.85,False
final_data\glass\329.jpg,glass,0,800,533,40.38,False
final_data\glass\33.jpg,glass,0,1500,1101,251.65,False
final_data\glass\330.jpg,glass,0,768,512,36.1,False
final_data\glass\331.jpg,glass,0,480,330,36.32,False
final_data\glass\332.jpg,glass,0,1464,980,195.19,False
final_data\glass\333.jpg,glass,0,1820,1024,527.29,False
final_data\glass\334.jpg,glass,0,768,510,56.98,False
final_data\glass\335.jpg,glass,0,838,557,64.56,False
final_data\glass\336.jpg,glass,0,770,433,81.42,False
final_data\glass\337.jpg,glass,0,900,506,146.81,False
final_data\glass\338.jpg,glass,0,600,400,23.25,False
final_data\glass\339.jpg,glass,0,768,480,124.01,False
final_data\glass\34.jpg,glass,0,800,600,151.65,False
final_data\glass\340.jpg,glass,0,1920,1280,419.82,False
final_data\glass\341.jpg,glass,0,735,490,133.98,False
final_data\glass\342.jpg,glass,0,600,400,52.71,False
final_data\glass\343.jpg,glass,0,600,400,52.71,False
final_data\glass\344.jpg,glass,0,1500,1120,440.79,False
final_data\glass\345.jpg,glass,0,1300,956,193.63,False
final_data\glass\346.jpg,glass,0,930,620,156.9,False
final_data\glass\347.jpg,glass,0,1300,906,224.6,False
final_data\glass\348.jpg,glass,0,1344,768,91.14,False
final_data\glass\349.jpg,glass,0,1344,768,133.78,False
final_data\glass\35.jpg,glass,0,1500,1101,320.09,False
final_data\glass\350.jpg,glass,0,1024,1024,207.65,False
final_data\glass\351.jpg,glass,0,2030,1388,340.14,False
final_data\glass\352.jpg,glass,0,800,534,71.85,False
final_data\glass\353.jpg,glass,0,800,534,64.77,False
final_data\glass\354.jpg,glass,0,800,534,44.02,False
final_data\glass\355.jpg,glass,0,1050,1242,225.22,False
final_data\glass\356.jpg,glass,0,600,305,63.55,False
final_data\glass\357.jpg,glass,0,480,244,41.51,False
final_data\glass\358.jpg,glass,0,3430,1960,512.2,False
final_data\glass\359.jpg,glass,0,2000,1334,643.85,False
final_data\glass\36.jpg,glass,0,390,280,25.72,False
final_data\glass\360.jpg,glass,0,800,533,40.38,False
final_data\glass\361.jpg,glass,0,768,512,36.1,False
final_data\glass\362.jpg,glass,0,480,330,36.32,False
final_data\glass\363.jpg,glass,0,1464,980,195.19,False
final_data\glass\364.jpg,glass,0,1820,1024,527.29,False
final_data\glass\365.jpg,glass,0,768,510,56.98,False
final_data\glass\366.jpg,glass,0,838,557,64.56,False
final_data\glass\367.jpg,glass,0,770,433,81.42,False
final_data\glass\368.jpg,glass,0,900,506,146.81,False
final_data\glass\369.jpg,glass,0,600,400,23.25,False
final_data\glass\37.jpg,glass,0,390,280,20.27,False
final_data\glass\370.jpg,glass,0,768,480,124.01,False
final_data\glass\371.jpg,glass,0,1920,1280,419.82,False
final_data\glass\372.jpg,glass,0,735,490,133.98,False
final_data\glass\373.jpg,glass,0,800,534,84.62,False
final_data\glass\374.jpg,glass,0,800,534,64.77,False
final_data\glass\375.jpg,glass,0,800,534,71.85,False
final_data\glass\376.jpg,glass,0,800,534,78.45,False
final_data\glass\377.jpg,glass,0,800,534,44.02,False
final_data\glass\378.jpg,glass,0,1836,1176,195.72,False
final_data\glass\379.jpg,glass,0,800,450,84.41,False
final_data\glass\38.jpg,glass,0,1500,1101,252.12,False
final_data\glass\380.jpg,glass,0,800,600,107.48,False
final_data\glass\381.jpg,glass,0,1050,1242,225.22,False
final_data\glass\382.jpg,glass,0,600,305,63.55,False
final_data\glass\383.jpg,glass,0,480,244,41.51,False
final_data\glass\384.jpg,glass,0,3430,1960,512.2,False
final_data\glass\385.jpg,glass,0,626,417,53.48,False
final_data\glass\386.jpg,glass,0,2000,1334,643.85,False
final_data\glass\387.jpg,glass,0,1300,957,176.57,False
final_data\glass\388.jpg,glass,0,800,533,40.38,False
final_data\glass\389.jpg,glass,0,768,512,36.1,False
final_data\glass\39.jpg,glass,0,390,280,29.06,False
final_data\glass\390.jpg,glass,0,1600,1157,316.24,False
final_data\glass\391.jpg,glass,0,1464,980,195.19,False
final_data\glass\392.jpg,glass,0,1820,1024,527.29,False
final_data\glass\393.jpg,glass,0,838,557,64.56,False
final_data\glass\394.jpg,glass,0,770,433,81.42,False
final_data\glass\395.jpg,glass,0,900,506,146.81,False
final_data\glass\396.jpg,glass,0,600,400,23.25,False
final_data\glass\397.jpg,glass,0,768,480,124.01,False
final_data\glass\398.jpg,glass,0,1300,928,192.69,False
final_data\glass\399.jpg,glass,0,1200,900,264.47,False
final_data\glass\4.jpg,glass,0,1920,221,84.85,False
final_data\glass\40.jpg,glass,0,1500,1101,227.29,False
final_data\glass\400.jpg,glass,0,1920,1280,419.82,False
final_data\glass\401.jpg,glass,0,735,490,133.98,False
final_data\glass\402.jpg,glass,0,600,400,52.71,False
final_data\glass\403.jpg,glass,0,600,400,52.71,False
final_data\glass\404.jpg,glass,0,600,400,52.71,False
final_data\glass\405.jpg,glass,0,800,534,84.62,False
final_data\glass\406.jpg,glass,0,800,534,64.77,False
final_data\glass\407.jpg,glass,0,800,534,71.85,False
final_data\glass\408.jpg,glass,0,800,534,78.45,False
final_data\glass\409.jpg,glass,0,800,534,44.02,False
final_data\glass\41.jpg,glass,0,1500,1101,251.65,False
final_data\glass\410.jpg,glass,0,1836,1176,195.72,False
final_data\glass\411.jpg,glass,0,800,450,84.41,False
final_data\glass\412.jpg,glass,0,800,600,107.48,False
final_data\glass\413.jpg,glass,0,1050,1242,225.22,False
final_data\glass\414.jpg,glass,0,600,305,63.55,False
final_data\glass\415.jpg,glass,0,480,244,41.51,False
final_data\glass\416.jpg,glass,0,3430,1960,512.2,False
final_data\glass\417.jpg,glass,0,626,417,45.19,False
final_data\glass\418.jpg,glass,0,2000,1334,518.66,False
final_data\glass\419.jpg,glass,0,1300,957,176.57,False
final_data\glass\42.jpg,glass,0,800,600,151.65,False
final_data\glass\420.jpg,glass,0,800,533,40.38,False
final_data\glass\421.jpg,glass,0,768,512,36.1,False
final_data\glass\422.jpg,glass,0,1600,1157,316.24,False
final_data\glass\423.jpg,glass,0,1464,980,195.19,False
final_data\glass\424.jpg,glass,0,1820,1024,527.29,False
final_data\glass\425.jpg,glass,0,838,557,64.56,False
final_data\glass\426.jpg,glass,0,770,433,81.42,False
final_data\glass\427.jpg,glass,0,900,506,146.81,False
final_data\glass\428.jpg,glass,0,600,400,23.25,False
final_data\glass\429.jpg,glass,0,768,480,124.01,False
final_data\glass\43.jpg,glass,0,1300,956,356.77,False
final_data\glass\430.jpg,glass,0,1300,928,192.69,False
final_data\glass\431.jpg,glass,0,1200,900,264.47,False
final_data\glass\432.jpg,glass,0,1920,1280,419.82,False
final_data\glass\433.jpg,glass,0,735,490,133.98,False
final_data\glass\434.jpg,glass,0,600,400,52.71,False
final_data\glass\435.jpg,glass,0,1200,800,126.9,False
final_data\glass\436.jpg,glass,0,600,400,52.71,False
final_data\glass\437.jpg,glass,0,800,534,84.62,False
final_data\glass\438.jpg,glass,0,800,534,64.77,False
final_data\glass\439.jpg,glass,0,800,534,71.85,False
final_data\glass\44.jpg,glass,0,1300,956,318.76,False
final_data\glass\440.jpg,glass,0,800,534,78.45,False
final_data\glass\441.jpg,glass,0,800,534,44.02,False
final_data\glass\442.jpg,glass,0,1836,1176,195.72,False
final_data\glass\443.jpg,glass,0,800,450,84.41,False
final_data\glass\444.jpg,glass,0,800,600,107.48,False
final_data\glass\445.jpg,glass,0,1050,1242,225.22,False
final_data\glass\446.jpg,glass,0,600,305,63.55,False
final_data\glass\447.jpg,glass,0,480,244,41.51,False
final_data\glass\448.jpg,glass,0,3430,1960,512.2,False
final_data\glass\449.jpg,glass,0,626,417,45.19,False
final_data\glass\45.jpg,glass,0,800,543,128.0,False
final_data\glass\450.jpg,glass,0,2000,1334,518.66,False
final_data\glass\451.jpg,glass,0,1300,957,176.57,False
final_data\glass\452.jpg,glass,0,800,533,40.38,False
final_data\glass\453.jpg,glass,0,768,512,36.1,False
final_data\glass\454.jpg,glass,0,1600,1157,316.24,False
final_data\glass\455.jpg,glass,0,1464,980,195.19,False
final_data\glass\456.jpg,glass,0,1820,1024,527.29,False
final_data\glass\457.jpg,glass,0,838,557,64.56,False
final_data\glass\458.jpg,glass,0,770,433,81.42,False
final_data\glass\459.jpg,glass,0,900,506,146.81,False
final_data\glass\46.jpg,glass,0,1300,958,441.03,False
final_data\glass\460.jpg,glass,0,600,400,23.25,False
final_data\glass\461.jpg,glass,0,768,480,124.01,False
final_data\glass\462.jpg,glass,0,1300,928,192.69,False
final_data\glass\463.jpg,glass,0,1200,900,264.47,False
final_data\glass\464.jpg,glass,0,1920,1280,419.82,False
final_data\glass\465.jpg,glass,0,735,490,133.98,False
final_data\glass\466.jpg,glass,0,1500,1120,440.79,False
final_data\glass\467.jpg,glass,0,1300,956,193.63,False
final_data\glass\468.jpg,glass,0,930,620,156.9,False
final_data\glass\469.jpg,glass,0,1300,906,224.6,False
final_data\glass\47.jpg,glass,0,1300,956,205.81,False
final_data\glass\470.jpg,glass,0,1344,768,91.14,False
final_data\glass\471.jpg,glass,0,1344,768,133.78,False
final_data\glass\472.jpg,glass,0,1024,1024,207.65,False
final_data\glass\473.jpg,glass,0,2030,1388,340.14,False
final_data\glass\474.jpg,glass,0,800,534,71.85,False
final_data\glass\475.jpg,glass,0,800,534,64.77,False
final_data\glass\476.jpg,glass,0,800,534,44.02,False
final_data\glass\477.jpg,glass,0,1050,1242,225.22,False
final_data\glass\478.jpg,glass,0,600,305,63.55,False
final_data\glass\479.jpg,glass,0,480,244,41.51,False
final_data\glass\48.jpg,glass,0,1300,956,219.72,False
final_data\glass\480.jpg,glass,0,3430,1960,512.2,False
final_data\glass\481.jpg,glass,0,2000,1334,518.66,False
final_data\glass\482.jpg,glass,0,800,533,40.38,False
final_data\glass\483.jpg,glass,0,768,512,36.1,False
final_data\glass\484.jpg,glass,0,480,330,36.32,False
final_data\glass\485.jpg,glass,0,1464,980,195.19,False
final_data\glass\486.jpg,glass,0,1820,1024,527.29,False
final_data\glass\487.jpg,glass,0,768,510,56.98,False
final_data\glass\488.jpg,glass,0,838,557,64.56,False
final_data\glass\489.jpg,glass,0,770,433,81.42,False
final_data\glass\49.jpg,glass,0,800,534,58.05,False
final_data\glass\490.jpg,glass,0,900,506,146.81,False
final_data\glass\491.jpg,glass,0,600,400,23.25,False
final_data\glass\492.jpg,glass,0,768,480,124.01,False
final_data\glass\493.jpg,glass,0,1920,1280,419.82,False
final_data\glass\494.jpg,glass,0,735,490,133.98,False
final_data\glass\495.jpg,glass,0,600,400,52.71,False
final_data\glass\496.jpg,glass,0,1200,800,126.9,False
final_data\glass\497.jpg,glass,0,600,400,52.71,False
final_data\glass\498.jpg,glass,0,1600,1157,297.79,False
final_data\glass\499.jpg,glass,0,1344,768,91.14,False
final_data\glass\5.jpg,glass,0,1046,700,73.67,False
final_data\glass\50.jpg,glass,0,1300,956,398.19,False
final_data\glass\51.jpg,glass,0,1024,682,295.15,False
final_data\glass\52.jpg,glass,0,1600,1157,247.82,False
final_data\glass\53.jpg,glass,0,800,450,88.67,False
final_data\glass\54.jpg,glass,0,800,450,90.11,False
final_data\glass\55.jpg,glass,0,1300,956,351.84,False
final_data\glass\56.jpg,glass,0,1300,956,369.8,False
final_data\glass\57.jpg,glass,0,1300,956,370.48,False
final_data\glass\58.jpg,glass,0,1300,956,193.63,False
final_data\glass\59.jpg,glass,0,1300,906,224.6,False
final_data\glass\6.jpg,glass,0,864,864,164.7,False
final_data\glass\60.jpg,glass,0,800,534,89.66,False
final_data\glass\61.jpg,glass,0,800,534,78.47,False
final_data\glass\62.jpg,glass,0,1344,768,91.14,False
final_data\glass\63.jpg,glass,0,1344,768,133.78,False
final_data\glass\64.jpg,glass,0,2030,1388,340.14,False
final_data\glass\65.jpg,glass,0,800,534,84.62,False
final_data\glass\66.jpg,glass,0,800,534,64.77,False
final_data\glass\67.jpg,glass,0,1300,1064,426.14,False
final_data\glass\68.jpg,glass,0,800,534,78.45,False
final_data\glass\69.jpg,glass,0,800,534,44.02,False
final_data\glass\7.jpg,glass,0,1600,1164,499.48,False
final_data\glass\70.jpg,glass,0,1344,768,133.78,False
final_data\glass\71.jpg,glass,0,800,534,84.62,False
final_data\glass\72.jpg,glass,0,800,534,64.77,False
final_data\glass\73.jpg,glass,0,800,534,71.85,False
final_data\glass\74.jpg,glass,0,800,534,78.45,False
final_data\glass\75.jpg,glass,0,800,534,44.02,False
final_data\glass\76.jpg,glass,0,1836,1176,195.72,False
final_data\glass\77.jpg,glass,0,800,450,84.41,False
final_data\glass\78.jpg,glass,0,800,600,107.48,False
final_data\glass\79.jpg,glass,0,1050,1242,225.22,False
final_data\glass\8.jpg,glass,0,1600,1157,457.49,False
final_data\glass\80.jpg,glass,0,600,305,63.55,False
final_data\glass\81.jpg,glass,0,480,244,41.51,False
final_data\glass\82.jpg,glass,0,3430,1960,512.2,False
final_data\glass\83.jpg,glass,0,626,417,53.48,False
final_data\glass\84.jpg,glass,0,2000,1334,643.85,False
final_data\glass\85.jpg,glass,0,1300,957,176.57,False
