image_path,text_description,label
waste_dataset\metal\000375.jpg,a crushed metal can in trash,metal
waste_dataset\plastic\000042.jpg,discarded plastic material waste item,plastic
waste_dataset\metal\000409.jpg,aluminum or steel waste item found,metal
waste_dataset\metal\000275.jpg,empty metal can thrown away,metal
waste_dataset\cardboard\000255.jpg,corrugated cardboard waste object found,cardboard
waste_dataset\trash\000241.jpg,general waste material discarded,trash
waste_dataset\trash\000212.jpg,mixed garbage non recyclable material,trash
waste_dataset\paper\000419.jpg,old paper document thrown away,paper
waste_dataset\cardboard\000354.jpg,used cardboard carton for recycling,cardboard
waste_dataset\cardboard\000135.jpg,used cardboard carton for recycling,cardboard
waste_dataset\glass\000012.jpg,shattered glass piece in garbage bin,glass
waste_dataset\cardboard\000212.jpg,brown cardboard packaging waste material,cardboard
waste_dataset\trash\000383.jpg,general waste material discarded,trash
waste_dataset\plastic\000376.jpg,plastic bag found in garbage waste,plastic
waste_dataset\plastic\000083.jpg,discarded plastic material waste item,plastic
waste_dataset\glass\000177.jpg,shattered glass piece in garbage bin,glass
waste_dataset\glass\000099.jpg,shattered glass piece in garbage bin,glass
waste_dataset\trash\000010.jpg,random waste item in trash bin,trash
waste_dataset\plastic\000143.jpg,plastic waste item for recycling,plastic
waste_dataset\metal\000189.jpg,empty metal can thrown away,metal
waste_dataset\paper\000046.jpg,paper waste item found in garbage,paper
waste_dataset\cardboard\000094.jpg,used cardboard carton for recycling,cardboard
waste_dataset\glass\000313.jpg,empty glass bottle discarded waste,glass
waste_dataset\cardboard\000189.jpg,brown cardboard packaging waste material,cardboard
waste_dataset\trash\000392.jpg,mixed waste garbage object found,trash
waste_dataset\paper\000328.jpg,paper waste item found in garbage,paper
waste_dataset\cardboard\000176.jpg,empty cardboard box thrown away,cardboard
waste_dataset\metal\000252.jpg,recycled metal can garbage item found,metal
waste_dataset\plastic\000270.jpg,plastic waste recycling object found,plastic
waste_dataset\trash\000269.jpg,non recyclable waste object in bin,trash
waste_dataset\plastic\000267.jpg,plastic packaging thrown in trash bin,plastic
waste_dataset\trash\000083.jpg,general household waste item found,trash
waste_dataset\plastic\000252.jpg,plastic bag found in garbage waste,plastic
waste_dataset\metal\000237.jpg,a crushed metal can in trash,metal
waste_dataset\plastic\000392.jpg,plastic packaging thrown in trash bin,plastic
waste_dataset\trash\000029.jpg,mixed garbage non recyclable material,trash
waste_dataset\trash\000185.jpg,random waste item in trash bin,trash
waste_dataset\trash\000200.jpg,general waste material discarded,trash
waste_dataset\plastic\000287.jpg,empty plastic bottle waste object,plastic
waste_dataset\metal\000286.jpg,empty metal can thrown away,metal
waste_dataset\plastic\000015.jpg,plastic packaging thrown in trash bin,plastic
waste_dataset\trash\000155.jpg,mixed garbage non recyclable material,trash
waste_dataset\glass\000017.jpg,recycled glass waste object found,glass
waste_dataset\paper\000329.jpg,paper sheet thrown in recycling bin,paper
waste_dataset\glass\000215.jpg,shattered glass piece in garbage bin,glass
waste_dataset\plastic\000296.jpg,plastic waste item for recycling,plastic
waste_dataset\metal\000127.jpg,metal container for recycling bin,metal
waste_dataset\trash\000186.jpg,mixed waste garbage object found,trash
waste_dataset\plastic\000279.jpg,plastic bag found in garbage waste,plastic
waste_dataset\glass\000079.jpg,glass container discarded as garbage,glass
waste_dataset\paper\000095.jpg,old paper document thrown away,paper
waste_dataset\trash\000101.jpg,non recyclable waste object in bin,trash
waste_dataset\paper\000289.jpg,paper waste item found in garbage,paper
waste_dataset\plastic\000097.jpg,plastic bag found in garbage waste,plastic
waste_dataset\trash\000044.jpg,mixed waste garbage object found,trash
waste_dataset\cardboard\000415.jpg,a flattened cardboard box in trash,cardboard
waste_dataset\glass\000381.jpg,a glass bottle found in waste bin,glass
waste_dataset\trash\000059.jpg,household garbage thrown away,trash
waste_dataset\cardboard\000240.jpg,empty cardboard box thrown away,cardboard
waste_dataset\glass\000221.jpg,a glass bottle found in waste bin,glass
waste_dataset\trash\000285.jpg,general waste material discarded,trash
waste_dataset\trash\000257.jpg,household garbage thrown away,trash
waste_dataset\plastic\000206.jpg,empty plastic bottle waste object,plastic
waste_dataset\paper\000417.jpg,a crumpled piece of paper waste,paper
waste_dataset\paper\000344.jpg,torn paper piece in waste bin,paper
waste_dataset\plastic\000068.jpg,plastic waste item for recycling,plastic
waste_dataset\metal\000091.jpg,old metal container waste material,metal
waste_dataset\plastic\000017.jpg,empty plastic bottle waste object,plastic
waste_dataset\cardboard\000234.jpg,empty cardboard box thrown away,cardboard
waste_dataset\trash\000134.jpg,general trash item discarded,trash
waste_dataset\paper\000081.jpg,torn paper piece in waste bin,paper
waste_dataset\glass\000277.jpg,empty glass bottle discarded waste,glass
waste_dataset\cardboard\000174.jpg,cardboard material discarded in bin,cardboard
waste_dataset\cardboard\000355.jpg,old cardboard packaging garbage item,cardboard
waste_dataset\plastic\000170.jpg,a plastic bottle in garbage bin,plastic
waste_dataset\metal\000299.jpg,used tin can discarded as waste,metal
waste_dataset\cardboard\000247.jpg,corrugated cardboard waste object found,cardboard
waste_dataset\glass\000410.jpg,a glass bottle found in waste bin,glass
waste_dataset\glass\000090.jpg,empty glass bottle discarded waste,glass
waste_dataset\cardboard\000283.jpg,old cardboard packaging garbage item,cardboard
waste_dataset\trash\000293.jpg,general waste material discarded,trash
waste_dataset\cardboard\000169.jpg,cardboard material discarded in bin,cardboard
waste_dataset\cardboard\000112.jpg,cardboard material discarded in bin,cardboard
waste_dataset\trash\000417.jpg,random waste item in trash bin,trash
waste_dataset\paper\000073.jpg,used newspaper or paper in trash bin,paper
waste_dataset\paper\000088.jpg,a crumpled piece of paper waste,paper
waste_dataset\trash\000391.jpg,general trash item discarded,trash
waste_dataset\cardboard\000195.jpg,cardboard material discarded in bin,cardboard
waste_dataset\paper\000116.jpg,white paper material discarded waste,paper
waste_dataset\plastic\000276.jpg,used plastic container discarded waste,plastic
waste_dataset\glass\000359.jpg,broken glass item for recycling,glass
waste_dataset\metal\000337.jpg,a crushed metal can in trash,metal
waste_dataset\plastic\000053.jpg,plastic bag found in garbage waste,plastic
waste_dataset\paper\000298.jpg,white paper material discarded waste,paper
waste_dataset\trash\000144.jpg,mixed garbage non recyclable material,trash
waste_dataset\paper\000038.jpg,white paper material discarded waste,paper
waste_dataset\metal\000323.jpg,used tin can discarded as waste,metal
waste_dataset\paper\000033.jpg,paper sheet thrown in recycling bin,paper
waste_dataset\trash\000264.jpg,general waste material discarded,trash
waste_dataset\metal\000308.jpg,used tin can discarded as waste,metal
waste_dataset\cardboard\000179.jpg,corrugated cardboard waste object found,cardboard
waste_dataset\paper\000373.jpg,paper waste item found in garbage,paper
waste_dataset\cardboard\000213.jpg,used cardboard carton for recycling,cardboard
waste_dataset\trash\000382.jpg,mixed garbage non recyclable material,trash
waste_dataset\metal\000384.jpg,old metal container waste material,metal
waste_dataset\glass\000100.jpg,a glass bottle found in waste bin,glass
waste_dataset\metal\000256.jpg,metal container for recycling bin,metal
waste_dataset\paper\000191.jpg,a crumpled piece of paper waste,paper
waste_dataset\glass\000382.jpg,a glass bottle found in waste bin,glass
waste_dataset\trash\000116.jpg,random waste item in trash bin,trash
waste_dataset\metal\000341.jpg,old metal container waste material,metal
waste_dataset\paper\000261.jpg,old paper document thrown away,paper
waste_dataset\plastic\000301.jpg,discarded plastic material waste item,plastic
waste_dataset\paper\000114.jpg,white paper material discarded waste,paper
waste_dataset\metal\000253.jpg,used tin can discarded as waste,metal
waste_dataset\trash\000027.jpg,household garbage thrown away,trash
waste_dataset\cardboard\000197.jpg,empty cardboard box thrown away,cardboard
waste_dataset\metal\000172.jpg,steel or aluminum waste object,metal
waste_dataset\metal\000024.jpg,aluminum or steel waste item found,metal
waste_dataset\plastic\000327.jpg,plastic waste recycling object found,plastic
waste_dataset\plastic\000210.jpg,plastic waste recycling object found,plastic
waste_dataset\cardboard\000421.jpg,empty cardboard box thrown away,cardboard
waste_dataset\plastic\000211.jpg,used plastic container discarded waste,plastic
waste_dataset\metal\000114.jpg,a crushed metal can in trash,metal
waste_dataset\metal\000194.jpg,steel or aluminum waste object,metal
waste_dataset\plastic\000295.jpg,plastic bag found in garbage waste,plastic
waste_dataset\glass\000209.jpg,a glass bottle found in waste bin,glass
waste_dataset\metal\000421.jpg,metal container for recycling bin,metal
waste_dataset\cardboard\000097.jpg,corrugated cardboard waste object found,cardboard
waste_dataset\paper\000296.jpg,paper sheet thrown in recycling bin,paper
waste_dataset\plastic\000269.jpg,empty plastic bottle waste object,plastic
waste_dataset\plastic\000299.jpg,a plastic bottle in garbage bin,plastic
waste_dataset\glass\000384.jpg,broken glass item for recycling,glass
waste_dataset\glass\000370.jpg,clear glass waste material in trash,glass
waste_dataset\plastic\000244.jpg,empty plastic bottle waste object,plastic
waste_dataset\metal\000007.jpg,empty metal can thrown away,metal
waste_dataset\glass\000051.jpg,recycled glass waste object found,glass
waste_dataset\trash\000149.jpg,general waste material discarded,trash
waste_dataset\trash\000239.jpg,mixed garbage non recyclable material,trash
waste_dataset\trash\000062.jpg,general household waste item found,trash
waste_dataset\paper\000184.jpg,white paper material discarded waste,paper
waste_dataset\paper\000062.jpg,old paper document thrown away,paper
waste_dataset\plastic\000008.jpg,plastic waste recycling object found,plastic
waste_dataset\plastic\000005.jpg,plastic bag found in garbage waste,plastic
waste_dataset\paper\000132.jpg,white paper material discarded waste,paper
waste_dataset\glass\000171.jpg,a glass bottle found in waste bin,glass
waste_dataset\metal\000195.jpg,used tin can discarded as waste,metal
waste_dataset\trash\000227.jpg,mixed garbage non recyclable material,trash
waste_dataset\plastic\000350.jpg,plastic waste item for recycling,plastic
waste_dataset\trash\000154.jpg,general household waste item found,trash
waste_dataset\glass\000036.jpg,recycled glass waste object found,glass
waste_dataset\paper\000336.jpg,paper sheet thrown in recycling bin,paper
waste_dataset\glass\000327.jpg,empty glass bottle discarded waste,glass
waste_dataset\paper\000197.jpg,torn paper piece in waste bin,paper
waste_dataset\glass\000265.jpg,glass jar or bottle thrown away,glass
waste_dataset\cardboard\000211.jpg,brown cardboard packaging waste material,cardboard
waste_dataset\trash\000187.jpg,general household waste item found,trash
waste_dataset\metal\000019.jpg,empty metal can thrown away,metal
waste_dataset\glass\000222.jpg,clear glass waste material in trash,glass
waste_dataset\metal\000155.jpg,old metal container waste material,metal
waste_dataset\glass\000291.jpg,recycled glass waste object found,glass
waste_dataset\trash\000003.jpg,general trash item discarded,trash
waste_dataset\paper\000017.jpg,paper waste item found in garbage,paper
waste_dataset\metal\000180.jpg,used tin can discarded as waste,metal
waste_dataset\cardboard\000423.jpg,empty cardboard box thrown away,cardboard
waste_dataset\metal\000249.jpg,steel or aluminum waste object,metal
waste_dataset\glass\000015.jpg,glass jar or bottle thrown away,glass
waste_dataset\plastic\000010.jpg,plastic waste recycling object found,plastic
waste_dataset\glass\000379.jpg,a glass bottle found in waste bin,glass
waste_dataset\paper\000164.jpg,white paper material discarded waste,paper
waste_dataset\glass\000052.jpg,broken glass item for recycling,glass
waste_dataset\plastic\000134.jpg,plastic packaging thrown in trash bin,plastic
waste_dataset\trash\000384.jpg,general household waste item found,trash
waste_dataset\plastic\000012.jpg,a plastic bottle in garbage bin,plastic
waste_dataset\paper\000091.jpg,a crumpled piece of paper waste,paper
waste_dataset\trash\000014.jpg,non recyclable waste object in bin,trash
waste_dataset\glass\000029.jpg,a glass bottle found in waste bin,glass
waste_dataset\plastic\000203.jpg,plastic bag found in garbage waste,plastic
waste_dataset\trash\000214.jpg,general trash item discarded,trash
waste_dataset\paper\000069.jpg,old paper document thrown away,paper
waste_dataset\cardboard\000260.jpg,a flattened cardboard box in trash,cardboard
waste_dataset\paper\000080.jpg,paper waste item found in garbage,paper
waste_dataset\glass\000022.jpg,a glass bottle found in waste bin,glass
waste_dataset\trash\000276.jpg,mixed garbage non recyclable material,trash
waste_dataset\cardboard\000238.jpg,brown cardboard packaging waste material,cardboard
waste_dataset\cardboard\000110.jpg,corrugated cardboard waste object found,cardboard
waste_dataset\trash\000047.jpg,household garbage thrown away,trash
waste_dataset\glass\000267.jpg,glass jar or bottle thrown away,glass
waste_dataset\cardboard\000253.jpg,corrugated cardboard waste object found,cardboard
waste_dataset\metal\000354.jpg,a crushed metal can in trash,metal
waste_dataset\paper\000028.jpg,paper waste item found in garbage,paper
waste_dataset\plastic\000201.jpg,plastic bag found in garbage waste,plastic
waste_dataset\trash\000167.jpg,mixed waste garbage object found,trash
waste_dataset\metal\000029.jpg,metal container for recycling bin,metal
waste_dataset\cardboard\000297.jpg,recycled cardboard box material waste,cardboard
waste_dataset\glass\000234.jpg,a glass bottle found in waste bin,glass
waste_dataset\trash\000405.jpg,mixed waste garbage object found,trash
waste_dataset\glass\000242.jpg,shattered glass piece in garbage bin,glass
waste_dataset\glass\000331.jpg,a glass bottle found in waste bin,glass
waste_dataset\cardboard\000368.jpg,corrugated cardboard waste object found,cardboard
waste_dataset\plastic\000278.jpg,a plastic bottle in garbage bin,plastic
waste_dataset\glass\000408.jpg,empty glass bottle discarded waste,glass
waste_dataset\glass\000182.jpg,clear glass waste material in trash,glass
waste_dataset\paper\000170.jpg,old paper document thrown away,paper
waste_dataset\metal\000160.jpg,empty metal can thrown away,metal
waste_dataset\glass\000358.jpg,shattered glass piece in garbage bin,glass
waste_dataset\glass\000033.jpg,glass container discarded as garbage,glass
waste_dataset\paper\000357.jpg,a crumpled piece of paper waste,paper
waste_dataset\plastic\000130.jpg,plastic waste recycling object found,plastic
waste_dataset\cardboard\000325.jpg,used cardboard carton for recycling,cardboard
waste_dataset\paper\000136.jpg,old paper document thrown away,paper
waste_dataset\cardboard\000101.jpg,brown cardboard packaging waste material,cardboard
waste_dataset\plastic\000166.jpg,empty plastic bottle waste object,plastic
waste_dataset\cardboard\000262.jpg,corrugated cardboard waste object found,cardboard
waste_dataset\trash\000290.jpg,mixed waste garbage object found,trash
waste_dataset\glass\000002.jpg,empty glass bottle discarded waste,glass
waste_dataset\plastic\000288.jpg,plastic bag found in garbage waste,plastic
waste_dataset\cardboard\000180.jpg,used cardboard carton for recycling,cardboard
waste_dataset\trash\000389.jpg,non recyclable waste object in bin,trash
waste_dataset\glass\000299.jpg,a glass bottle found in waste bin,glass
waste_dataset\metal\000372.jpg,recycled metal can garbage item found,metal
waste_dataset\cardboard\000319.jpg,brown cardboard packaging waste material,cardboard
waste_dataset\metal\000265.jpg,a crushed metal can in trash,metal
waste_dataset\glass\000168.jpg,empty glass bottle discarded waste,glass
waste_dataset\cardboard\000292.jpg,recycled cardboard box material waste,cardboard
waste_dataset\cardboard\000142.jpg,cardboard material discarded in bin,cardboard
waste_dataset\cardboard\000411.jpg,corrugated cardboard waste object found,cardboard
waste_dataset\paper\000253.jpg,torn paper piece in waste bin,paper
waste_dataset\metal\000272.jpg,aluminum or steel waste item found,metal
waste_dataset\plastic\000247.jpg,empty plastic bottle waste object,plastic
waste_dataset\glass\000010.jpg,shattered glass piece in garbage bin,glass
waste_dataset\glass\000240.jpg,empty glass bottle discarded waste,glass
waste_dataset\plastic\000013.jpg,a plastic bottle in garbage bin,plastic
waste_dataset\paper\000395.jpg,a crumpled piece of paper waste,paper
waste_dataset\metal\000267.jpg,used tin can discarded as waste,metal
waste_dataset\paper\000099.jpg,paper waste item found in garbage,paper
waste_dataset\cardboard\000248.jpg,empty cardboard box thrown away,cardboard
waste_dataset\glass\000137.jpg,recycled glass waste object found,glass
waste_dataset\metal\000140.jpg,a crushed metal can in trash,metal
waste_dataset\paper\000243.jpg,paper waste item found in garbage,paper
waste_dataset\metal\000196.jpg,a crushed metal can in trash,metal
waste_dataset\trash\000193.jpg,mixed waste garbage object found,trash
waste_dataset\plastic\000116.jpg,a plastic bottle in garbage bin,plastic
waste_dataset\cardboard\000030.jpg,used cardboard carton for recycling,cardboard
waste_dataset\paper\000276.jpg,recycled paper material waste object,paper
waste_dataset\trash\000176.jpg,mixed garbage non recyclable material,trash
waste_dataset\cardboard\000369.jpg,brown cardboard packaging waste material,cardboard
waste_dataset\trash\000250.jpg,mixed waste garbage object found,trash
waste_dataset\paper\000351.jpg,torn paper piece in waste bin,paper
waste_dataset\trash\000049.jpg,household garbage thrown away,trash
waste_dataset\plastic\000129.jpg,plastic waste item for recycling,plastic
waste_dataset\plastic\000136.jpg,a plastic bottle in garbage bin,plastic
waste_dataset\paper\000234.jpg,paper waste item found in garbage,paper
waste_dataset\glass\000057.jpg,a glass bottle found in waste bin,glass
waste_dataset\glass\000153.jpg,a glass bottle found in waste bin,glass
waste_dataset\paper\000264.jpg,white paper material discarded waste,paper
waste_dataset\plastic\000321.jpg,discarded plastic material waste item,plastic
waste_dataset\cardboard\000333.jpg,cardboard material discarded in bin,cardboard
waste_dataset\plastic\000039.jpg,discarded plastic material waste item,plastic
waste_dataset\paper\000368.jpg,a crumpled piece of paper waste,paper
waste_dataset\plastic\000164.jpg,plastic waste recycling object found,plastic
waste_dataset\trash\000031.jpg,mixed garbage non recyclable material,trash
waste_dataset\glass\000362.jpg,glass jar or bottle thrown away,glass
waste_dataset\paper\000086.jpg,recycled paper material waste object,paper
waste_dataset\paper\000015.jpg,used newspaper or paper in trash bin,paper
waste_dataset\cardboard\000209.jpg,brown cardboard packaging waste material,cardboard
waste_dataset\trash\000341.jpg,random waste item in trash bin,trash
waste_dataset\trash\000170.jpg,non recyclable waste object in bin,trash
waste_dataset\plastic\000148.jpg,plastic bag found in garbage waste,plastic
waste_dataset\trash\000336.jpg,random waste item in trash bin,trash
waste_dataset\glass\000104.jpg,glass container discarded as garbage,glass
waste_dataset\glass\000094.jpg,shattered glass piece in garbage bin,glass
waste_dataset\plastic\000177.jpg,plastic packaging thrown in trash bin,plastic
waste_dataset\paper\000050.jpg,paper waste item found in garbage,paper
waste_dataset\plastic\000277.jpg,a plastic bottle in garbage bin,plastic
waste_dataset\glass\000252.jpg,empty glass bottle discarded waste,glass
waste_dataset\plastic\000300.jpg,plastic packaging thrown in trash bin,plastic
waste_dataset\paper\000293.jpg,paper waste item found in garbage,paper
waste_dataset\cardboard\000200.jpg,corrugated cardboard waste object found,cardboard
waste_dataset\cardboard\000230.jpg,brown cardboard packaging waste material,cardboard
waste_dataset\glass\000339.jpg,broken glass item for recycling,glass
waste_dataset\cardboard\000408.jpg,corrugated cardboard waste object found,cardboard
waste_dataset\glass\000301.jpg,glass container discarded as garbage,glass
waste_dataset\glass\000093.jpg,clear glass waste material in trash,glass
waste_dataset\trash\000279.jpg,mixed garbage non recyclable material,trash
waste_dataset\metal\000148.jpg,used tin can discarded as waste,metal
waste_dataset\cardboard\000316.jpg,cardboard material discarded in bin,cardboard
waste_dataset\plastic\000390.jpg,discarded plastic material waste item,plastic
waste_dataset\trash\000077.jpg,non recyclable waste object in bin,trash
waste_dataset\trash\000312.jpg,mixed waste garbage object found,trash
waste_dataset\cardboard\000070.jpg,old cardboard packaging garbage item,cardboard
waste_dataset\plastic\000306.jpg,a plastic bottle in garbage bin,plastic
waste_dataset\metal\000289.jpg,a crushed metal can in trash,metal
waste_dataset\paper\000030.jpg,paper waste item found in garbage,paper
waste_dataset\paper\000349.jpg,paper sheet thrown in recycling bin,paper
waste_dataset\trash\000355.jpg,mixed garbage non recyclable material,trash
waste_dataset\glass\000389.jpg,a glass bottle found in waste bin,glass
waste_dataset\cardboard\000232.jpg,cardboard material discarded in bin,cardboard
waste_dataset\glass\000035.jpg,recycled glass waste object found,glass
waste_dataset\paper\000388.jpg,paper waste item found in garbage,paper
waste_dataset\cardboard\000388.jpg,used cardboard carton for recycling,cardboard
waste_dataset\glass\000308.jpg,glass container discarded as garbage,glass
waste_dataset\metal\000321.jpg,steel or aluminum waste object,metal
waste_dataset\trash\000307.jpg,general waste material discarded,trash
waste_dataset\metal\000220.jpg,old metal container waste material,metal
waste_dataset\paper\000173.jpg,paper sheet thrown in recycling bin,paper
waste_dataset\paper\000022.jpg,torn paper piece in waste bin,paper
waste_dataset\paper\000183.jpg,white paper material discarded waste,paper
waste_dataset\paper\000158.jpg,torn paper piece in waste bin,paper
waste_dataset\cardboard\000280.jpg,used cardboard carton for recycling,cardboard
waste_dataset\paper\000037.jpg,paper waste item found in garbage,paper
waste_dataset\trash\000202.jpg,non recyclable waste object in bin,trash
waste_dataset\plastic\000293.jpg,a plastic bottle in garbage bin,plastic
waste_dataset\plastic\000212.jpg,plastic waste item for recycling,plastic
waste_dataset\metal\000355.jpg,aluminum or steel waste item found,metal
waste_dataset\cardboard\000323.jpg,empty cardboard box thrown away,cardboard
waste_dataset\metal\000230.jpg,metal container for recycling bin,metal
waste_dataset\trash\000349.jpg,general trash item discarded,trash
waste_dataset\glass\000229.jpg,empty glass bottle discarded waste,glass
waste_dataset\glass\000070.jpg,glass jar or bottle thrown away,glass
waste_dataset\trash\000244.jpg,general waste material discarded,trash
waste_dataset\trash\000260.jpg,non recyclable waste object in bin,trash
waste_dataset\trash\000404.jpg,household garbage thrown away,trash
waste_dataset\glass\000190.jpg,recycled glass waste object found,glass
waste_dataset\paper\000266.jpg,used newspaper or paper in trash bin,paper
waste_dataset\plastic\000079.jpg,plastic waste item for recycling,plastic
waste_dataset\glass\000391.jpg,a glass bottle found in waste bin,glass
waste_dataset\trash\000054.jpg,general waste material discarded,trash
waste_dataset\glass\000116.jpg,shattered glass piece in garbage bin,glass
waste_dataset\plastic\000089.jpg,plastic bag found in garbage waste,plastic
waste_dataset\cardboard\000150.jpg,used cardboard carton for recycling,cardboard
waste_dataset\metal\000382.jpg,aluminum or steel waste item found,metal
waste_dataset\trash\000046.jpg,non recyclable waste object in bin,trash
waste_dataset\metal\000245.jpg,old metal container waste material,metal
waste_dataset\metal\000242.jpg,old metal container waste material,metal
waste_dataset\trash\000097.jpg,general trash item discarded,trash
waste_dataset\metal\000259.jpg,aluminum or steel waste item found,metal
waste_dataset\glass\000406.jpg,a glass bottle found in waste bin,glass
waste_dataset\plastic\000069.jpg,empty plastic bottle waste object,plastic
waste_dataset\glass\000183.jpg,glass jar or bottle thrown away,glass
waste_dataset\cardboard\000164.jpg,cardboard material discarded in bin,cardboard
waste_dataset\cardboard\000403.jpg,old cardboard packaging garbage item,cardboard
waste_dataset\plastic\000139.jpg,plastic packaging thrown in trash bin,plastic
waste_dataset\paper\000237.jpg,recycled paper material waste object,paper
waste_dataset\paper\000141.jpg,recycled paper material waste object,paper
waste_dataset\plastic\000312.jpg,plastic waste item for recycling,plastic
waste_dataset\metal\000052.jpg,used tin can discarded as waste,metal
waste_dataset\paper\000418.jpg,used newspaper or paper in trash bin,paper
waste_dataset\glass\000204.jpg,recycled glass waste object found,glass
waste_dataset\glass\000005.jpg,glass jar or bottle thrown away,glass
waste_dataset\cardboard\000050.jpg,corrugated cardboard waste object found,cardboard
waste_dataset\cardboard\000068.jpg,cardboard material discarded in bin,cardboard
waste_dataset\paper\000268.jpg,used newspaper or paper in trash bin,paper
waste_dataset\trash\000414.jpg,general household waste item found,trash
